1,GIRLS 6 & UNDER 100 YARD MEDLEY RELAY,0,1,A
2,MIXED 6 & UNDER 100 YARD MEDLEY RELAY,1,1,A
3,GIRLS 7-8 100 YARD MEDLEY RELAY,1,1,A
4,MIXED 7-8 100 YARD MEDLEY RELAY,1,1,A
5,GIRLS 9-10 100 YARD MEDLEY RELAY,1,1,A
6,MIXED 9-10 100 YARD MEDLEY RELAY,1,1,A
7,GIRLS 11-12 200 YARD MEDLEY RELAY,1,1,A
8,MIXED 11-12 200 YARD MEDLEY RELAY,1,1,A
9,GIRLS 13-14 200 YARD MEDLEY RELAY,1,1,A
10,MIXED 13-14 200 YARD MEDLEY RELAY,1,1,A
11,GIRLS 15-18 200 YARD MEDLEY RELAY,1,1,A
12,MIXED 15-18 200 YARD MEDLEY RELAY,1,1,A
13,GIRLS 6 & UNDER 25 YARD FREESTYLE,2,1,A
14,BOYS 6 & UNDER 25 YARD FREESTYLE,2,1,A
15,GIRLS 7-8 25 YARD FREESTYLE,4,1,A
16,BOYS 7-8 25 YARD FREESTYLE,2,1,A
17,GIRLS 9-10 50 YARD FREESTYLE,3,1,A
18,BOYS 9-10 50 YARD FREESTYLE,1,1,A
19,GIRLS 11-12 50 YARD FREESTYLE,3,1,A
20,BOYS 11-12 50 YARD FREESTYLE,2,1,A
21,GIRLS 13-14 50 YARD FREESTYLE,3,1,A
22,BOYS 13-14 50 YARD FREESTYLE,3,1,A
23,GIRLS 15-18 50 YARD FREESTYLE,2,1,A
24,BOYS 15-18 50 YARD FREESTYLE,4,1,A
25,GIRLS 6 & UNDER 25 YARD BUTTERFLY,1,1,A
26,BOYS 6 & UNDER 25 YARD BUTTERFLY,1,1,A
27,GIRLS 7-8 25 YARD BUTTERFLY,2,1,A
28,BOYS 7-8 25 YARD BUTTERFLY,1,1,A
29,GIRLS 9-10 25 YARD BUTTERFLY,3,1,A
30,BOYS 9-10 25 YARD BUTTERFLY,1,1,A
31,GIRLS 11-12 50 YARD BUTTERFLY,2,1,A
32,BOYS 11-12 50 YARD BUTTERFLY,2,1,A
33,GIRLS 13-14 50 YARD BUTTERFLY,2,1,A
34,BOYS 13-14 50 YARD BUTTERFLY,2,1,A
35,GIRLS 15-18 50 YARD BUTTERFLY,1,1,A
36,BOYS 15-18 50 YARD BUTTERFLY,2,1,A
37,GIRLS 6 & UNDER 25 YARD BREASTSTROKE,1,1,A
38,BOYS 6 & UNDER 25 YARD BREASTSTROKE,1,1,A
39,GIRLS 7-8 25 YARD BREASTSTROKE,2,1,A
40,BOYS 7-8 25 YARD BREASTSTROKE,1,1,A
41,GIRLS 9-10 25 YARD BREASTSTROKE,2,1,A
42,BOYS 9-10 25 YARD BREASTSTROKE,1,1,A
43,GIRLS 11-12 50 YARD BREASTSTROKE,3,1,A
44,BOYS 11-12 50 YARD BREASTSTROKE,2,1,A
45,GIRLS 13-14 50 YARD BREASTSTROKE,2,1,A
46,BOYS 13-14 50 YARD BREASTSTROKE,2,1,A
47,GIRLS 15-18 50 YARD BREASTSTROKE,1,1,A
48,BOYS 15-18 50 YARD BREASTSTROKE,2,1,A
49,GIRLS 9-10 100 YARD INDIVIDUAL MEDLEY,1,1,A
50,BOYS 9-10 100 YARD INDIVIDUAL MEDLEY,1,1,A
51,GIRLS 11-12 100 YARD INDIVIDUAL MEDLEY,2,1,A
52,BOYS 11-12 100 YARD INDIVIDUAL MEDLEY,1,1,A
53,GIRLS 13-14 100 YARD INDIVIDUAL MEDLEY,2,1,A
54,BOYS 13-14 100 YARD INDIVIDUAL MEDLEY,2,1,A
55,GIRLS 15-18 100 YARD INDIVIDUAL MEDLEY,2,1,A
56,BOYS 15-18 100 YARD INDIVIDUAL MEDLEY,2,1,A
57,GIRLS 6 & UNDER 25 YARD BACKSTROKE,1,1,A
58,BOYS 6 & UNDER 25 YARD BACKSTROKE,2,1,A
59,GIRLS 7-8 25 YARD BACKSTROKE,4,1,A
60,BOYS 7-8 25 YARD BACKSTROKE,2,1,A
61,GIRLS 9-10 25 YARD BACKSTROKE,3,1,A
62,BOYS 9-10 25 YARD BACKSTROKE,1,1,A
63,GIRLS 11-12 50 YARD BACKSTROKE,3,1,A
64,BOYS 11-12 50 YARD BACKSTROKE,2,1,A
65,GIRLS 13-14 50 YARD BACKSTROKE,2,1,A
66,BOYS 13-14 50 YARD BACKSTROKE,2,1,A
67,GIRLS 15-18 50 YARD BACKSTROKE,1,1,A
68,BOYS 15-18 50 YARD BACKSTROKE,2,1,A
69,GIRLS 6 & UNDER 100 YARD FREESTYLE RELAY,1,1,A
70,MIXED 6 & UNDER 100 YARD FREESTYLE RELAY,1,1,A
71,GIRLS 7-8 100 YARD FREESTYLE RELAY,1,1,A
72,MIXED 7-8 100 YARD FREESTYLE RELAY,1,1,A
73,GIRLS 9-10 200 YARD FREESTYLE RELAY,1,1,A
74,MIXED 9-10 200 YARD FREESTYLE RELAY,1,1,A
75,GIRLS 11-12 200 YARD FREESTYLE RELAY,1,1,A
76,MIXED 11-12 200 YARD FREESTYLE RELAY,1,1,A
77,GIRLS 13-14 200 YARD FREESTYLE RELAY,1,1,A
78,MIXED 13-14 200 YARD FREESTYLE RELAY,1,1,A
79,GIRLS 15-18 200 YARD FREESTYLE RELAY,1,1,A
80,MIXED 15-18 200 YARD FREESTYLE RELAY,1,1,A
